aphWoo1#REF#SUPER_W_RagTag.trimmed	716331	819786	+	transcript_id "TCONS_00000001";gene_id "XLOC_000001"
aphWoo1#REF#SUPER_W_RagTag.trimmed	1382141	1530310	+	transcript_id "TCONS_00000002";gene_id "XLOC_000002"
aphWoo1#REF#SUPER_W_RagTag.trimmed	1483681	1530310	+	transcript_id "TCONS_00000004";gene_id "XLOC_000002"
aphWoo1#REF#SUPER_W_RagTag.trimmed	1483681	1530310	+	transcript_id "TCONS_00000003";gene_id "XLOC_000002"
aphWoo1#REF#SUPER_W_RagTag.trimmed	2617945	2629209	+	transcript_id "TCONS_00000005";gene_id "XLOC_000003"
aphWoo1#REF#SUPER_W_RagTag.trimmed	2617945	2630045	+	transcript_id "TCONS_00000007";gene_id "XLOC_000003"
aphWoo1#REF#SUPER_W_RagTag.trimmed	2617945	2630045	+	transcript_id "TCONS_00000006";gene_id "XLOC_000003"
aphWoo1#REF#SUPER_W_RagTag.trimmed	6742635	7143716	+	transcript_id "TCONS_00000008";gene_id "XLOC_000004"
aphWoo1#REF#SUPER_W_RagTag.trimmed	6765510	7143716	+	transcript_id "TCONS_00000009";gene_id "XLOC_000004"
aphWoo1#REF#SUPER_W_RagTag.trimmed	8605845	8611656	+	transcript_id "TCONS_00000010";gene_id "XLOC_000005"
aphWoo1#REF#SUPER_W_RagTag.trimmed	9389598	9393177	+	transcript_id "TCONS_00000011";gene_id "XLOC_000006"
aphWoo1#REF#SUPER_W_RagTag.trimmed	11921483	11924106	+	transcript_id "TCONS_00000012";gene_id "XLOC_000007"
aphWoo1#REF#SUPER_W_RagTag.trimmed	11923152	11924251	+	transcript_id "TCONS_00000013";gene_id "XLOC_000007"
aphWoo1#REF#SUPER_W_RagTag.trimmed	11924087	11924251	+	transcript_id "TCONS_00000014";gene_id "XLOC_000007"
aphWoo1#REF#SUPER_W_RagTag.trimmed	11949244	11952268	+	transcript_id "TCONS_00000015";gene_id "XLOC_000008"
aphWoo1#REF#SUPER_W_RagTag.trimmed	11949287	11952268	+	transcript_id "TCONS_00000016";gene_id "XLOC_000008"
aphWoo1#REF#SUPER_W_RagTag.trimmed	11949494	11952123	+	transcript_id "TCONS_00000017";gene_id "XLOC_000008"
aphWoo1#REF#SUPER_W_RagTag.trimmed	11951169	11952268	+	transcript_id "TCONS_00000018";gene_id "XLOC_000008"
aphWoo1#REF#SUPER_W_RagTag.trimmed	11952104	11952268	+	transcript_id "TCONS_00000019";gene_id "XLOC_000008"
aphWoo1#REF#SUPER_W_RagTag.trimmed	12295372	12298289	+	transcript_id "TCONS_00000020";gene_id "XLOC_000009"
aphWoo1#REF#SUPER_W_RagTag.trimmed	12295578	12298144	+	transcript_id "TCONS_00000022";gene_id "XLOC_000009"
aphWoo1#REF#SUPER_W_RagTag.trimmed	12295578	12298144	+	transcript_id "TCONS_00000021";gene_id "XLOC_000009"
aphWoo1#REF#SUPER_W_RagTag.trimmed	12295640	12298289	+	transcript_id "TCONS_00000023";gene_id "XLOC_000009"
aphWoo1#REF#SUPER_W_RagTag.trimmed	12295662	12295726	+	transcript_id "TCONS_00000024";gene_id "XLOC_000009"
aphWoo1#REF#SUPER_W_RagTag.trimmed	12295662	12298289	+	transcript_id "TCONS_00000025";gene_id "XLOC_000009"
aphWoo1#REF#SUPER_W_RagTag.trimmed	12297214	12298289	+	transcript_id "TCONS_00000026";gene_id "XLOC_000009"
aphWoo1#REF#SUPER_W_RagTag.trimmed	12324115	12326475	+	transcript_id "TCONS_00000027";gene_id "XLOC_000010"
aphWoo1#REF#SUPER_W_RagTag.trimmed	12324115	12326620	+	transcript_id "TCONS_00000028";gene_id "XLOC_000010"
aphWoo1#REF#SUPER_W_RagTag.trimmed	12324171	12326620	+	transcript_id "TCONS_00000029";gene_id "XLOC_000010"
